steps	avg_reward	std_reward
0	23.80952380952381	15.921291666968205
1	25.1	16.38566446623389
2	26.842105263157894	14.33899048745922
3	31.8125	12.410775308174747
4	30.0	11.842098383210937
5	39.46153846153846	28.083982252729005
6	39.30769230769231	24.749155744371798
7	51.9	25.35921923088327
8	36.53333333333333	16.341630545600058
9	72.14285714285714	38.805112223699055
10	55.888888888888886	27.41226183235218
11	52.3	24.875891943807765
12	46.72727272727273	22.193737483152187
13	63.75	12.101136310280948
14	76.85714285714286	16.10171748983471
15	80.42857142857143	20.47198184876898
16	88.71428571428571	45.102151629746594
17	73.14285714285714	36.34528293791004
18	101.0	60.119880239401674
19	78.5	35.92352989337211
20	90.16666666666667	75.0786624518282
21	91.83333333333333	12.824672402140422
22	127.75	80.29438025167141
23	90.33333333333333	47.89108012517107
24	171.0	17.378147196982766
25	161.0	15.215124054702938
26	170.0	34.56395039150859
27	148.5	11.779218989389747
28	171.5	21.33658829335187
29	222.0	27.58018612458347
30	232.33333333333334	20.07209228976613
31	190.66666666666666	12.36482466066094
32	226.33333333333334	22.543784558547888
33	169.0	71.01173611922657
34	201.0	50.40502620440412
35	184.0	20.83266665599966
36	225.66666666666666	15.107025591499546
37	167.25	9.54921462739214
38	189.0	35.05234181430203
39	205.0	76.8505042273634
40	213.66666666666666	87.75850702670115
41	280.5	103.5
42	251.5	42.5
43	315.5	55.5
44	314.0	1.0
45	262.0	44.3245605355165
46	268.5	22.5
47	217.33333333333334	27.13341523329163
48	170.75	57.65143103167518
49	156.5	55.328564051491526
50	192.33333333333334	74.74549410425278
51	293.0	85.0
52	162.25	57.746753155480526
53	328.0	100.0
54	160.5	33.90058996536786
55	241.0	16.87206764645835
56	273.5	74.5
57	282.5	15.5
58	300.0	62.0
59	210.66666666666666	55.83507459971336
60	500.0	0.0
61	397.0	103.0
62	304.0	166.49524517735233
63	500.0	0.0
64	500.0	0.0
65	500.0	0.0
66	318.5	78.5
67	500.0	0.0
68	417.5	82.5
69	359.0	99.0
70	350.0	73.0
71	452.5	3.5
72	300.0	200.0
73	500.0	0.0
74	500.0	0.0
75	500.0	0.0
76	500.0	0.0
77	500.0	0.0
78	500.0	0.0
79	401.0	99.0
80	500.0	0.0
81	232.33333333333334	139.87931306030288
82	356.0	82.0
83	376.5	33.5
84	399.5	99.5
85	372.0	10.0
86	378.5	121.5
87	500.0	0.0
88	383.0	117.0
89	500.0	0.0
90	500.0	0.0
91	500.0	0.0
92	500.0	0.0
93	500.0	0.0
94	427.5	72.5
95	500.0	0.0
96	500.0	0.0
97	500.0	0.0
98	500.0	0.0
99	500.0	0.0
