steps	avg_reward	std_reward
0	22.25777777777778	12.163159108807747
1	23.734597156398106	12.79127691522927
2	27.505494505494507	16.574423316421836
3	26.76063829787234	15.134894991412608
4	29.827380952380953	17.60985824549147
5	35.58156028368794	20.25621558697331
6	42.109243697478995	27.243313855846804
7	43.582608695652176	26.913705126375476
8	50.28	27.662277563497913
9	58.73255813953488	29.90777468283419
10	61.3780487804878	28.60097228600695
11	85.42372881355932	48.057241077638395
12	89.53571428571429	43.73294128070081
13	105.47916666666667	50.44303287840871
14	139.41666666666666	66.09646779938817
15	143.54285714285714	57.717708526508744
16	188.44444444444446	85.04871516147251
17	241.1904761904762	123.09331305485634
18	225.0	77.13511578364631
19	219.43478260869566	65.07308672759491
20	283.22222222222223	67.5339877852096
21	264.5263157894737	91.34743877436915
22	382.92857142857144	87.20703140533229
23	340.3333333333333	89.87225501912268
24	368.2857142857143	113.84477437748833
25	417.0833333333333	89.55674023892463
26	286.1111111111111	68.80317247925329
27	243.14285714285714	43.77679937210241
28	322.125	72.37737474515085
29	479.54545454545456	30.79658669505625
30	484.6363636363636	48.58408405167782
31	487.27272727272725	34.93654223690539
32	427.6666666666667	100.89626135568928
33	426.9166666666667	51.70019073680698
34	383.92857142857144	75.66416804888964
35	459.8181818181818	53.134166686055096
36	491.09090909090907	20.91304310474271
37	415.7692307692308	119.77681414656426
38	478.54545454545456	43.031412704428405
39	406.7692307692308	91.12050672358077
40	472.6363636363636	37.44152465638975
41	392.2307692307692	114.58497273347567
42	418.15384615384613	91.91036281562275
43	492.8181818181818	13.449016062814827
44	433.1666666666667	90.78439048402294
45	462.09090909090907	46.23154087742292
46	472.0	50.73997885834655
47	473.27272727272725	70.68636349021693
48	443.25	97.50053418657082
49	477.27272727272725	56.703520668458914
50	493.3636363636364	20.986024472026518
51	475.90909090909093	66.6939475861798
52	464.27272727272725	78.67319158633497
53	500.0	0.0
54	500.0	0.0
55	500.0	0.0
56	500.0	0.0
57	500.0	0.0
58	500.0	0.0
59	500.0	0.0
60	500.0	0.0
61	500.0	0.0
62	500.0	0.0
63	500.0	0.0
64	490.8181818181818	29.035458516091477
65	500.0	0.0
66	494.45454545454544	17.536267024570105
67	500.0	0.0
68	500.0	0.0
69	500.0	0.0
70	500.0	0.0
71	500.0	0.0
72	500.0	0.0
73	500.0	0.0
74	500.0	0.0
75	500.0	0.0
76	497.72727272727275	7.1869946822008615
77	487.72727272727275	20.396483248972597
78	477.45454545454544	71.29498724743256
79	472.09090909090907	88.25629469742658
80	492.8181818181818	15.660129929904402
81	472.1818181818182	66.32402304638833
82	478.09090909090907	27.060385488937833
83	490.09090909090907	31.335296814395765
84	480.27272727272725	62.38311384150348
85	500.0	0.0
86	500.0	0.0
87	500.0	0.0
88	500.0	0.0
89	500.0	0.0
90	491.90909090909093	25.58570106863507
91	483.72727272727275	34.52559237617249
92	479.72727272727275	43.04773441212126
93	500.0	0.0
94	480.8181818181818	60.65823511777528
95	500.0	0.0
96	500.0	0.0
97	500.0	0.0
98	500.0	0.0
99	500.0	0.0
