steps	avg_reward	std_reward
0	-1455.1089304354982	247.3735896353562
1	-1350.518634037055	243.36684893012196
2	-1449.8086015259385	187.20956866894065
3	-1507.6503284451985	175.98356868042978
4	-1464.4090779320813	210.81801265063186
5	-1458.3174290642417	218.27700895722447
6	-1383.5144474683143	199.54650126902877
7	-1310.1539379514245	149.88760878584026
8	-1251.1638682439304	248.67415033553004
9	-1346.9351736341703	223.72543853801335
10	-1407.2360204091312	189.3136987352313
11	-1357.2844309819227	199.66412394092768
12	-1382.465861068472	201.65558178288788
13	-1486.4727170926383	212.4243607996102
14	-1387.1683376897197	167.90411142508262
15	-1447.2524939595187	234.38202257853334
16	-1427.2036012766412	138.88315683640286
17	-1480.3362698514238	244.5252831859188
18	-1494.8097601080601	164.72347194578057
19	-1416.9694299294385	194.35002943943357
20	-1445.5490186522138	169.17218129671096
21	-1355.6688915146003	148.61655679963744
22	-1392.7200031045536	188.84674876018806
23	-1335.8131887548477	215.64391916008742
24	-1278.6861825841354	186.12407399644098
25	-1300.8911038896756	194.36239275839526
26	-1242.1628753968853	229.22886039474915
27	-1329.5442953792358	138.23657427050475
28	-1262.0784892252607	93.58418435228141
29	-1241.719104126793	85.76389289204
30	-1221.9677595001701	152.18391443016074
31	-1103.2392187702226	123.73955945876347
32	-1060.5252058275216	177.52674721951743
33	-1079.8651601348731	129.41996188916275
34	-1123.953930885656	123.86287586848145
35	-1203.5848621985122	167.9200857903637
36	-1245.22119554609	175.5717045758481
37	-1257.0151283216314	162.75925204247423
38	-1242.651441989249	148.51988395980845
39	-1260.0980493740326	162.52339094289493
40	-1285.588459010491	155.07436055693367
41	-1235.0677459232122	151.31630094069865
42	-1234.50446961	182.1412503966011
43	-1213.2546542825914	132.80243783519774
44	-1240.9843126772391	116.5491962628189
45	-1226.712074350601	138.31662389590534
46	-1312.3047827720234	121.20036382885448
47	-1297.2848126926212	112.70524036934262
48	-1262.494521809804	137.13932543101487
49	-1226.9710279142764	115.18446008889518
50	-1198.9540031997274	134.16177529635365
51	-1202.0231071325063	147.8558872478879
52	-1242.7236701726847	168.7052012483009
53	-1221.3529177678552	177.52187055602047
54	-1288.1922749740434	203.30102025424645
55	-1305.5533284475778	186.5829614978771
56	-1267.8048051731034	157.98433666686836
57	-1220.3527784529808	222.84557570466202
58	-1301.9193155858704	243.42230402717536
59	-1210.1362274336318	230.7883687424397
60	-1179.8886060768318	160.59921343693344
61	-1139.6477368917328	201.41958766833082
62	-1172.2985968617768	222.4904314817805
63	-1195.1524632009414	225.54193940211977
64	-1077.3694675299446	107.6103843392301
65	-1139.1384460828397	120.13729513477965
66	-1031.1160711271054	105.88052968793802
67	-1056.4795159912023	126.34174995642337
68	-987.4936228436203	121.07511843104957
69	-1063.264666763131	165.3746883755764
70	-1049.143528528484	130.38839970562827
71	-1083.3557053192237	127.55818014336627
72	-1017.0750064661664	117.45656143555182
73	-1094.5433947966546	224.91466224093244
74	-1126.6534194869218	172.6610559522713
75	-1040.7772950056515	168.44763998972874
76	-1055.2337018727994	192.84749725716935
77	-1079.4099214299583	164.29674679279262
78	-1064.05543866958	140.7854604527662
79	-1071.7268612277182	127.26165485440188
80	-1139.8249732968252	130.50857205661865
81	-1158.7611925884312	142.37107902542314
82	-1112.6879078193722	120.88877282293474
83	-1172.5370201767755	151.600522800144
84	-1092.9232855897128	142.25088798980735
85	-1061.8316082933961	122.31117493028975
86	-1123.879534228938	117.4276947859201
87	-1114.837745440015	118.90250271477943
88	-1131.2254688683863	119.23906210957335
89	-1125.364505540202	153.6786262690904
90	-1038.445561810497	87.47408502870826
91	-1050.082242347751	122.87845433443351
92	-978.909533700728	105.70028273351906
93	-989.9401332033171	154.2151217808946
94	-971.7791666232101	192.82392686076275
95	-950.7814035773342	136.75222134071137
96	-1089.5775127899929	93.89121842116177
97	-1140.983725133862	80.52385785666887
98	-1135.270764051782	90.71495493916593
99	-1168.0551628676008	69.65346150270699
100	-1156.4782026001728	81.72401682359124
