steps	avg_reward	std_reward
0	20.307692307692307	9.33467164256763
1	25.38095238095238	11.051723375526597
2	29.055555555555557	18.63828861427829
3	28.42105263157895	13.32317249035515
4	44.583333333333336	24.441966414800227
5	27.42105263157895	9.79965514685236
6	35.53333333333333	15.598575433530959
7	37.0	12.884098726725126
8	35.86666666666667	12.510617712789228
9	56.44444444444444	25.18425924223794
10	63.22222222222222	28.29518128499299
11	77.14285714285714	40.441946298467926
12	74.85714285714286	26.781809239154267
13	62.625	26.21038677700121
14	91.0	30.072135496724094
15	64.625	34.91753678311229
16	101.5	26.800186566514792
17	130.6	54.70502719129203
18	111.2	49.7087517445369
19	117.6	45.653477414102866
20	126.75	46.78875399067601
21	141.6	69.78137287270866
22	172.0	23.930454794396756
23	250.33333333333334	95.53475225743189
24	151.25	28.925550988702014
25	223.33333333333334	94.26676096176331
26	176.75	56.264442590325196
27	402.0	75.0
28	184.66666666666666	117.38919124954487
29	270.3333333333333	133.33249999739581
30	349.0	57.0
31	291.5	76.5
32	265.5	14.5
33	306.5	71.5
34	214.33333333333334	17.55625877635159
35	196.33333333333334	52.04058245467879
36	257.3333333333333	81.75709279458401
37	192.0	22.045407685048602
38	285.0	4.0
39	311.0	41.0
40	261.0	35.0
41	259.5	18.5
42	190.33333333333334	27.475241379993168
43	500.0	0.0
44	385.5	22.5
45	402.5	68.5
46	500.0	0.0
47	443.5	56.5
48	364.5	28.5
49	431.0	69.0
50	500.0	0.0
51	500.0	0.0
52	500.0	0.0
53	500.0	0.0
54	367.0	85.0
55	410.0	90.0
56	500.0	0.0
57	500.0	0.0
58	468.5	7.5
59	500.0	0.0
60	410.0	36.0
61	395.5	104.5
62	310.0	90.0
63	500.0	0.0
64	413.5	52.5
65	500.0	0.0
66	500.0	0.0
67	500.0	0.0
68	411.5	88.5
69	396.0	104.0
70	353.5	12.5
71	413.0	87.0
72	336.0	109.0
73	484.0	16.0
74	500.0	0.0
75	403.0	97.0
76	500.0	0.0
77	500.0	0.0
78	500.0	0.0
79	500.0	0.0
80	475.0	25.0
81	351.0	149.0
82	306.0	60.0
83	487.0	13.0
84	415.5	45.5
85	500.0	0.0
86	500.0	0.0
87	500.0	0.0
88	373.0	127.0
89	452.0	20.0
90	500.0	0.0
91	414.0	15.0
92	345.0	48.0
93	345.0	30.0
94	408.0	33.0
95	387.0	10.0
96	348.5	67.5
97	318.0	50.0
98	405.0	1.0
99	398.0	9.0
