steps	avg_reward	std_reward
0	-1375.0493297375888	227.68482129604712
1	-1289.476434882865	266.1622906686245
2	-1240.929069205415	242.82136489522463
3	-1178.142343130059	208.21997100082876
4	-1223.0877598048903	263.6125376590491
5	-1259.4549090071553	234.46084926684054
6	-1219.511058236109	172.0455229620821
7	-1260.8291344196525	231.7447832867508
8	-1272.814070742054	174.87002472097294
9	-1184.7786702037026	170.87383093769438
10	-1183.668669709412	107.05327307826687
11	-1273.036799224572	132.99034760260466
12	-1280.716194106346	148.8306214977119
13	-1283.6341966219304	82.33351840820187
14	-1311.084880700542	88.68041873565177
15	-1336.3339147679446	55.004277322766264
16	-1369.256101418426	92.76398704186937
17	-1392.2015439394027	81.69145638543922
18	-1413.6811279630629	117.14377275528616
19	-1391.3582401045683	75.4569010953173
20	-1419.6733867655678	68.05042881294852
21	-1414.9729716637858	67.84263129047868
22	-1376.2525502132976	66.63073191600583
23	-1366.7798444446007	79.94345422274935
24	-1362.8974735865108	87.85250675248327
25	-1380.3290816424349	104.25549559349994
26	-1340.9794903057423	134.5105945347158
27	-1360.235157177736	173.21104271372536
28	-1313.1520581427394	102.1318265462239
29	-1250.4373221892956	116.89288121488367
30	-1214.602021495789	133.24379548999167
31	-1199.8468545215408	173.16449445567056
32	-1308.1844151290807	160.94515970178844
33	-1312.5399968798645	197.41872866746616
34	-1340.075363722504	205.73528430732117
35	-1233.9565018170845	145.7593885631036
36	-1252.3527884738146	154.44607566199096
37	-1279.6790765159471	172.95065048956496
38	-1278.661793839134	237.52627540900846
39	-1278.4664213655826	245.02169629998681
40	-1374.7197017816789	253.09349295229964
41	-1459.783890816573	227.28305074292294
42	-1311.055501798726	257.4545635244055
43	-1335.9809182271426	202.32762821433263
44	-1334.497579428329	216.96961097418875
45	-1338.7595190641932	255.91039132525316
46	-1394.776119628288	259.5206715327318
47	-1404.035486735134	247.86187392988165
48	-1459.680843841134	207.71258177971475
49	-1404.4107305401099	213.59491185016526
50	-1449.62364300529	239.8947901154195
51	-1432.2031297097287	246.06032787316758
52	-1475.89222348693	228.3284722786629
53	-1447.2943536850821	220.25544500685325
54	-1375.934255261553	215.62422249854316
55	-1440.565791475145	255.11285052249386
56	-1489.719142287764	239.03826031150984
57	-1357.4095939208096	197.51744707262068
58	-1392.0678357613817	234.9491508653397
59	-1347.8250830219883	199.47718965122482
60	-1343.0761085941083	190.30179935818472
61	-1429.180345125489	203.98642005867595
62	-1315.7799802242862	211.98950037689096
63	-1351.4437038822375	215.94017193468062
64	-1401.4266550424693	250.67772308511564
65	-1347.0945593591605	238.0891806565927
66	-1387.12848926064	251.66809045861072
67	-1432.7998760024739	259.7162304956641
68	-1394.6504514946764	238.48278427777356
69	-1433.3467450976716	271.4902126697517
70	-1387.9961461559462	249.10117522457895
71	-1330.991993034276	157.8277742068892
72	-1387.104725056354	227.54104831722574
73	-1406.8131086380754	256.27602084724185
74	-1300.8863686549996	166.09279431237846
75	-1384.0088471809536	267.98691207813675
76	-1426.2610273801547	201.4249226175539
77	-1330.2486431556888	280.5490931339687
78	-1386.1014803101725	221.61340543472798
79	-1371.2446408536164	247.86151208614083
80	-1412.9232697844295	197.9940617002647
81	-1229.9748612226942	176.48555996866332
82	-1335.7021545108125	225.38434356339812
83	-1346.1392796002444	235.9864187219656
84	-1379.360608656428	239.33118391958064
85	-1400.7743315022408	221.45857414277162
86	-1270.7790456769662	236.77638495680466
87	-1284.2848522686922	241.09563971363485
88	-1234.118046281847	186.21143174440434
89	-1245.1253253409839	151.88464292721025
90	-1292.36055888057	183.87851934863522
91	-1287.8135848916309	130.86737647645188
92	-1337.0287321042206	150.80134936367259
93	-1384.4220255741466	175.89489630523371
94	-1364.066257685208	140.13980372389835
95	-1327.11120623227	119.48191055826533
96	-1358.928713550299	153.72205346715825
97	-1368.128366179684	158.88805517550114
98	-1295.884326273468	168.74962704432676
99	-1305.411760711182	205.14684325797538
100	-1343.539353294832	183.81304135639107
101	-1308.6958301276352	144.70322702172248
102	-1305.103545450482	137.85243345420628
103	-1283.857430326632	128.1160876925191
104	-1281.3836095140928	106.71611321594284
105	-1323.7920553624124	166.51074264456412
106	-1320.1432491191001	86.65676765095287
107	-1314.1911945600043	113.60500738380912
108	-1258.7344846467793	51.90137151258556
109	-1299.4237309824362	108.47900791346623
110	-1282.8871876552619	99.12106177607544
111	-1324.2237395476936	150.50129949975144
112	-1291.555364910262	91.19570529311163
113	-1261.1166036293357	126.61289906119684
114	-1339.7420416850662	149.8247571920683
115	-1336.3954165796301	195.99700639547012
116	-1355.5789850955744	199.67463677532595
117	-1284.6832634298328	169.23209812607735
118	-1319.5158304694203	173.1377651929233
119	-1361.43286089889	221.8813520244036
120	-1309.5919624234855	208.81878115397345
121	-1309.2835570297975	169.60490853313763
122	-1293.0238313683344	223.81167634098475
123	-1325.2896084191411	248.08762988716063
124	-1342.6183302405825	235.86871261166593
